ID,Date,DateStamp,Total,Type
463,2020-09-24,2020-09-24 04:33:55.437,8806,0
464,2020-09-25,2020-09-25 04:34:36.147,9935,0
465,2020-09-26,2020-09-26 04:34:31.020,9952,0
466,2020-09-27,2020-09-27 04:37:08.503,15902,0
467,2020-09-27,2020-09-27 16:56:12.050,61451,1
468,2020-09-28,2020-09-28 04:30:06.257,28,0
469,2020-09-29,2020-09-29 04:30:06.737,67,0
470,2020-09-30,2020-09-30 04:30:07.300,53,0
471,2020-10-01,2020-10-01 04:30:24.560,751,0
472,2020-10-02,2020-10-02 01:55:59.803,221391,1
473,2020-10-02,2020-10-02 04:30:04.860,31,0
474,2020-10-03,2020-10-03 04:30:11.433,71,0
475,2020-10-04,2020-10-04 04:30:08.753,49,0
476,2020-10-05,2020-10-05 04:30:08.843,85,0
477,2020-10-05,2020-10-05 19:39:58.537,52837,1
478,2020-10-05,2020-10-05 19:40:05.017,53289,1
479,2020-10-05,2020-10-05 19:40:05.393,51742,1
480,2020-10-05,2020-10-05 19:40:06.470,53493,1
481,2020-10-06,2020-10-06 04:30:05.390,34,0
482,2020-10-07,2020-10-07 04:30:07.207,81,0
483,2020-10-08,2020-10-08 04:30:06.980,72,0
484,2020-10-09,2020-10-09 04:30:06.837,64,0
485,2020-10-10,2020-10-10 04:30:07.467,57,0
486,2020-10-11,2020-10-11 04:44:03.997,32042,0
487,2020-10-13,2020-10-13 04:35:15.930,11481,0
